Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2023-03-30,2023,3,30,Thursday,13,2023-13,195.58,197.33,194.42,195.28,110252200,195.28,0.007220929756684091,187.6585714285714,185.9
2023-03-31,2023,3,31,Friday,13,2023-13,197.53,207.79,197.2,207.46,170222100,207.46,0.06237201971890638,190.0142857142857,187.50580000000002
2023-04-03,2023,4,3,Monday,14,2023-14,199.91,202.69,192.2,194.77,169545900,194.77,-0.061168427796826186,190.83642857142857,188.7328
2023-04-04,2023,4,4,Tuesday,14,2023-14,197.32,198.74,190.32,192.58,126463800,192.58,-0.011244043709844997,191.70285714285714,189.7094
2023-04-05,2023,4,5,Wednesday,14,2023-14,190.52,190.68,183.76,185.52,133882500,185.52,-0.036660076287605925,191.80214285714285,190.542
2023-04-06,2023,4,6,Thursday,14,2023-14,183.08,186.39,179.74,185.06,123857900,185.06,-0.002479553165553039,192.1542857142857,191.3546
2023-04-10,2023,4,10,Monday,15,2023-15,179.94,185.1,176.11,184.51,142154600,184.51,-0.0029720256079851515,192.24428571428572,191.83939999999998
2023-04-11,2023,4,11,Tuesday,15,2023-15,186.69,189.19,185.65,186.79,115770900,186.79,0.012357047570192181,191.47357142857143,192.0172
2023-04-12,2023,4,12,Wednesday,15,2023-15,190.74,191.58,180.31,180.54,150256300,180.54,-0.03346003653646468,190.71571428571428,192.2948
2023-04-13,2023,4,13,Thursday,15,2023-15,182.96,186.5,180.94,185.9,112933000,185.9,0.029688716127604264,190.26428571428573,192.54840000000002
2023-04-14,2023,4,14,Friday,15,2023-15,183.95,186.28,182.01,185.0,96438700,185.0,-0.004841279860318459,189.87785714285715,192.6202
2023-04-17,2023,4,17,Monday,16,2023-16,186.32,189.69,182.69,187.04,116662200,187.04,0.011026990735853115,189.53714285714287,192.59560000000002
2023-04-18,2023,4,18,Tuesday,16,2023-16,187.15,187.69,183.58,184.31,92067000,184.31,-0.014595786064655836,189.1885714285714,192.48219999999998
2023-04-19,2023,4,19,Wednesday,16,2023-16,179.1,183.5,177.65,180.59,125732700,180.59,-0.020183393575926356,188.23928571428573,192.19879999999998
2023-04-20,2023,4,20,Thursday,16,2023-16,166.17,169.7,160.56,162.99,210970800,162.99,-0.09745828230593856,185.93285714285713,191.52239999999998
2023-04-21,2023,4,21,Friday,16,2023-16,164.8,166.0,161.32,165.08,123539000,165.08,0.012822849668400638,182.90571428571428,190.7982
2023-04-24,2023,4,24,Monday,17,2023-17,164.65,165.65,158.61,162.55,140006600,162.55,-0.015325895028073244,180.6042857142857,189.90279999999998
2023-04-25,2023,4,25,Tuesday,17,2023-17,159.82,163.47,158.75,160.67,121999300,160.67,-0.011565701922588656,178.32500000000002,189.1784
2023-04-26,2023,4,26,Wednesday,17,2023-17,160.29,160.67,153.14,153.75,153364100,153.75,-0.04306963495243776,176.0557142857143,188.3606
2023-04-27,2023,4,27,Thursday,17,2023-17,152.64,160.48,152.37,160.19,127015200,160.19,0.041886194740853755,174.27928571428575,187.37940000000003
2023-04-28,2023,4,28,Friday,17,2023-17,160.9,165.0,157.32,164.31,122515800,164.31,0.025719427270091355,172.83642857142857,186.38080000000002
2023-05-01,2023,5,1,Monday,18,2023-18,163.17,163.28,158.83,161.83,109015000,161.83,-0.015093395194377579,171.05357142857142,185.57659999999998
2023-05-02,2023,5,2,Tuesday,18,2023-18,161.88,165.49,158.93,160.31,128259700,160.31,-0.00939259874721976,169.60857142857142,184.6166
2023-05-03,2023,5,3,Wednesday,18,2023-18,160.01,165.0,159.91,160.61,119728000,160.61,0.0018713932775662467,167.80214285714285,183.88139999999999
2023-05-04,2023,5,4,Thursday,18,2023-18,162.71,162.95,159.65,161.2,95108500,161.2,0.003673471985857102,166.10214285714284,183.0882
2023-05-05,2023,5,5,Friday,18,2023-18,163.97,170.79,163.51,170.06,107440900,170.06,0.05496278398315546,164.8892857142857,182.44800000000004
2023-05-08,2023,5,8,Monday,19,2023-19,173.72,173.8,169.19,171.79,112249400,171.79,0.010172855182730478,163.99499999999998,181.94619999999998
2023-05-09,2023,5,9,Tuesday,19,2023-19,168.95,169.82,166.56,169.15,88965000,169.15,-0.015367597024416146,163.17785714285714,181.1766
2023-05-10,2023,5,10,Wednesday,19,2023-19,172.55,174.43,166.68,168.54,119840700,168.54,-0.0036062703657255835,163.5742857142857,180.4332
2023-05-11,2023,5,11,Thursday,19,2023-19,168.7,173.57,166.79,172.08,103889900,172.08,0.021003967520705658,164.0742857142857,179.81939999999997
2023-05-12,2023,5,12,Friday,19,2023-19,176.07,177.38,167.23,167.98,157577100,167.98,-0.023826162598143963,164.46214285714285,179.361
2023-05-15,2023,5,15,Monday,20,2023-20,167.66,169.76,164.55,166.35,105592500,166.35,-0.009703474612936969,164.86785714285716,178.7322
2023-05-16,2023,5,16,Tuesday,20,2023-20,165.65,169.52,164.35,166.52,98288800,166.52,0.001021930644472091,165.78,178.1864
2023-05-17,2023,5,17,Wednesday,20,2023-20,168.41,174.5,167.19,173.86,125473600,173.86,0.04407876621166107,166.75642857142856,177.90939999999998
2023-05-18,2023,5,18,Thursday,20,2023-20,174.22,177.06,172.45,176.89,109520300,176.89,0.01742780840135616,167.655,177.80720000000002
2023-05-19,2023,5,19,Friday,20,2023-20,177.17,181.95,176.31,180.14,136024200,180.14,0.018373000232992265,168.96285714285713,177.95159999999998
2023-05-22,2023,5,22,Monday,21,2023-21,180.7,189.32,180.11,188.87,132001400,188.87,0.04846228354123516,171.00285714285715,178.2602
2023-05-23,2023,5,23,Tuesday,21,2023-21,186.2,192.96,185.26,185.77,156952100,185.77,-0.01641335799687571,172.79999999999998,178.486
2023-05-24,2023,5,24,Wednesday,21,2023-21,182.23,184.22,178.22,182.9,137605100,182.9,-0.015449266889003499,174.35,178.4788
2023-05-25,2023,5,25,Thursday,21,2023-21,186.54,186.78,180.58,184.47,96870700,184.47,0.008583965973816943,175.37928571428571,178.55920000000003
2023-05-26,2023,5,26,Friday,21,2023-21,184.62,198.6,184.53,193.17,162061500,193.17,0.047162123329924865,176.90642857142856,178.74
2023-05-30,2023,5,30,Tuesday,22,2023-22,200.1,204.48,197.53,201.16,128818700,201.16,0.041362559242642094,179.19285714285715,179.16060000000002
2023-05-31,2023,5,31,Wednesday,22,2023-22,199.78,203.95,195.12,203.93,150711700,203.93,0.013770078361723614,181.7207142857143,179.57420000000002
2023-06-01,2023,6,1,Thursday,22,2023-22,202.59,209.8,199.37,207.52,148029900,207.52,0.017604137329555458,184.25214285714287,179.77300000000002
2023-06-02,2023,6,2,Friday,22,2023-22,210.15,217.25,209.75,213.97,164129000,213.97,0.031081326211682914,187.53714285714287,180.2294
2023-06-05,2023,6,5,Monday,23,2023-23,217.8,221.29,214.52,217.61,151143100,217.61,0.017011727666879306,191.1985714285714,180.7372
2023-06-06,2023,6,6,Tuesday,23,2023-23,216.14,221.91,212.53,221.31,146911600,221.31,0.017002881015874438,195.11214285714283,181.3552
2023-06-07,2023,6,7,Wednesday,23,2023-23,228.0,230.83,223.2,224.57,185710800,224.57,0.014730512862447087,198.73428571428573,182.0104
2023-06-08,2023,6,8,Thursday,23,2023-23,224.22,235.23,223.01,234.86,164489700,234.86,0.045820870777622646,202.875,182.9238
2023-06-09,2023,6,9,Friday,23,2023-23,249.07,252.42,242.02,244.4,199882300,244.4,0.0406199151040636,207.465,183.93420000000003
2023-06-12,2023,6,12,Monday,24,2023-24,247.94,250.97,244.59,249.83,150337900,249.83,0.02221770896144215,211.81928571428574,185.0252
